stockcode,stockname,industry,change%,MarketCap,display
2869,GREENTOWN SER,Properties & Construction,0.27,11795826688,2869<BR>GREENTOWN SER<BR>+0.27%<BR><a target='_self' href='../quote/2869'>quote</a>
2883,CHINA OILFIELD,Energy,1.32,59951296512,2883<BR>CHINA OILFIELD<BR>+1.32%<BR><a target='_self' href='../quote/2883'>quote</a>
2888,STANCHART,Financials,-0.94,231854440448,2888<BR>STANCHART<BR>-0.94%<BR><a target='_self' href='../quote/2888'>quote</a>
2899,ZIJIN MINING,Materials,-0.14,420541169664,2899<BR>ZIJIN MINING<BR>-0.14%<BR><a target='_self' href='../quote/2899'>quote</a>
3309,C-MER EYE,Healthcare,-0.51,2438475264,3309<BR>C-MER EYE<BR>-0.51%<BR><a target='_self' href='../quote/3309'>quote</a>
3311,CHINA STATE CON,Properties & Construction,-2.09,61358215168,3311<BR>CHINA STATE CON<BR>-2.09%<BR><a target='_self' href='../quote/3311'>quote</a>
3319,A-LIVING,Properties & Construction,-1.39,4032800000,3319<BR>A-LIVING<BR>-1.39%<BR><a target='_self' href='../quote/3319'>quote</a>
3320,CHINARES PHARMA,Healthcare,-1.06,35182055424,3320<BR>CHINARES PHARMA<BR>-1.06%<BR><a target='_self' href='../quote/3320'>quote</a>
3323,CNBM,Properties & Construction,-1.11,30112129024,3323<BR>CNBM<BR>-1.11%<BR><a target='_self' href='../quote/3323'>quote</a>
3328,BANKCOMM,Financials,1.74,552796094464,3328<BR>BANKCOMM<BR>+1.74%<BR><a target='_self' href='../quote/3328'>quote</a>
3339,LONKING,Industrials,1.35,6420150272,3339<BR>LONKING<BR>+1.35%<BR><a target='_self' href='../quote/3339'>quote</a>
3347,TIGERMED,Healthcare,-0.48,47439609856,3347<BR>TIGERMED<BR>-0.48%<BR><a target='_self' href='../quote/3347'>quote</a>
3360,FE HORIZON,Financials,-0.53,23618447360,3360<BR>FE HORIZON<BR>-0.53%<BR><a target='_self' href='../quote/3360'>quote</a>
3377,SINO-OCEAN GP,Properties & Construction,-5.6,1797399552,3377<BR>SINO-OCEAN GP<BR>-5.6%<BR><a target='_self' href='../quote/3377'>quote</a>
3380,LOGAN GROUP,Properties & Construction,-2.83,5680294912,3380<BR>LOGAN GROUP<BR>-2.83%<BR><a target='_self' href='../quote/3380'>quote</a>
3383,AGILE GROUP,Properties & Construction,-3.9,3734076928,3383<BR>AGILE GROUP<BR>-3.9%<BR><a target='_self' href='../quote/3383'>quote</a>
3396,LEGENDHOLDING,Information Technology,-2.94,19438897152,3396<BR>LEGENDHOLDING<BR>-2.94%<BR><a target='_self' href='../quote/3396'>quote</a>
3606,FUYAO GLASS,Consumer Discretionary,-0.81,163669131264,3606<BR>FUYAO GLASS<BR>-0.81%<BR><a target='_self' href='../quote/3606'>quote</a>
3613,TONGRENTANGCM,Healthcare,0.35,7140463104,3613<BR>TONGRENTANGCM<BR>+0.35%<BR><a target='_self' href='../quote/3613'>quote</a>
3618,CQRC BANK,Financials,0.88,67648798720,3618<BR>CQRC BANK<BR>+0.88%<BR><a target='_self' href='../quote/3618'>quote</a>
3633,ZHONGYU ENERGY,Utilities,0.22,12532049920,3633<BR>ZHONGYU ENERGY<BR>+0.22%<BR><a target='_self' href='../quote/3633'>quote</a>
3650,KEEP,Consumer Discretionary,-0.69,2957414656,3650<BR>KEEP<BR>-0.69%<BR><a target='_self' href='../quote/3650'>quote</a>
3668,YANCOAL AUS,Energy,-0.48,41131708416,3668<BR>YANCOAL AUS<BR>-0.48%<BR><a target='_self' href='../quote/3668'>quote</a>
3669,YONGDA AUTO,Consumer Discretionary,0.41,4641823232,3669<BR>YONGDA AUTO<BR>+0.41%<BR><a target='_self' href='../quote/3669'>quote</a>
