Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_45 MA_95,-0.41399041395024544,1.2409590507183141,0.01079868921479683,62.0,3145.0,4936.0,0.0
MA_45 MA_96,-0.3744328485832782,1.5530707375288775,0.010789621734654,52.0,3146.0,4936.0,0.0
MA_45 MA_97,-0.37443284858327885,1.6066044804550192,0.010789621734653998,50.0,3148.0,4936.0,0.0
MA_45 MA_98,-0.37443284858327885,1.8465894249861843,0.010789621734653998,48.0,3156.0,4936.0,0.0
MA_45 MA_99,-0.34766017212414274,1.736671478312147,0.010785242826603028,46.0,3164.0,4936.0,0.0
MA_45 MA_100,-0.40718789471211964,1.7726692425616055,0.010763476428166005,44.0,3170.0,4936.0,0.0
MA_46 MA_56,-0.60675052180178,0.3980317207701076,0.010488873638148733,144.0,3033.0,4936.0,0.0
MA_46 MA_57,-0.5264983536874848,0.3373133415756291,0.010516755400097685,140.0,3043.0,4936.0,0.0
MA_46 MA_58,-0.4645426429206062,0.3200198238545946,0.010493608339910428,134.0,3042.0,4936.0,0.0
MA_46 MA_59,-0.3392143764613345,0.2797880518090532,0.010447159156392492,116.0,3046.0,4936.0,0.0
MA_46 MA_60,-0.07490213052688972,0.051278159119044764,0.010384197208500907,116.0,3059.0,4936.0,0.0
MA_46 MA_61,-0.06085136948234534,0.04065745054412373,0.01036437844595607,112.0,3056.0,4936.0,0.0
MA_46 MA_62,-0.0506742269365812,0.11447419027405803,0.010370929587902573,106.0,3064.0,4936.0,0.0
MA_46 MA_63,-0.08755327938318515,0.14409930668058735,0.010383480596696205,100.0,3068.0,4936.0,0.0
MA_46 MA_64,-0.11136416737843313,0.05047239069107201,0.010384038978124134,94.0,3084.0,4936.0,0.0
MA_46 MA_65,-0.2683063248546251,0.11186749161835663,0.010421650477873627,94.0,3096.0,4936.0,0.0
MA_46 MA_66,-0.34035776848466054,0.22222743380861587,0.010451092783485024,90.0,3105.0,4936.0,0.0
MA_46 MA_67,-0.4830700069252557,0.3091284268016552,0.010578624590745135,88.0,3114.0,4936.0,0.0
MA_46 MA_68,-0.46203763314416796,0.4448644721830346,0.010585342116323584,82.0,3117.0,4936.0,0.0
MA_46 MA_69,-0.4018883444014238,0.5781434455301033,0.010607611542001348,78.0,3118.0,4936.0,0.0
MA_46 MA_70,-0.38569666318417944,0.974725511527966,0.01060941584390309,80.0,3128.0,4936.0,0.0
MA_46 MA_71,-0.42587489345697044,0.8859799604949832,0.010618627703703823,78.0,3132.0,4936.0,0.0
MA_46 MA_72,-0.23276388628656827,0.7907152476932162,0.010700506770226248,76.0,3136.0,4936.0,0.0
MA_46 MA_73,-0.28807311579086137,0.781123702578842,0.010717896801805137,78.0,3141.0,4936.0,0.0
MA_46 MA_74,-0.38304406976094174,0.8746760462314871,0.010772158665960147,76.0,3149.0,4936.0,0.0
MA_46 MA_75,-0.3748605431823336,1.2543824210514778,0.010698352952113974,72.0,3156.0,4936.0,0.0
MA_46 MA_76,-0.2995964487964432,1.28634869869295,0.010723547798043886,72.0,3163.0,4936.0,0.0
MA_46 MA_77,-0.2995964487964441,1.4620788425039408,0.010723547798043877,68.0,3166.0,4936.0,0.0
MA_46 MA_78,-0.34384546295221924,1.5498016777444907,0.010734736117518741,68.0,3172.0,4936.0,0.0
MA_46 MA_79,-0.3455997072545222,1.756962127637522,0.010734694558970366,64.0,3170.0,4936.0,0.0
MA_46 MA_80,-0.32502454214714976,1.8735187643180082,0.010737447821559259,64.0,3171.0,4936.0,0.0
MA_46 MA_81,-0.34890113290109476,1.7393344837115876,0.010738799590011124,66.0,3169.0,4936.0,0.0
MA_46 MA_82,-0.3728136245963483,1.837031291455506,0.010741916498850122,66.0,3168.0,4936.0,0.0
MA_46 MA_83,-0.3728136245963469,1.2877762974624947,0.010741916498850125,66.0,3167.0,4936.0,0.0
MA_46 MA_84,-0.39847152451817286,1.17187119030998,0.010745541176064001,68.0,3167.0,4936.0,0.0
MA_46 MA_85,-0.41618927268568573,1.2887432703517505,0.010747174976850845,64.0,3165.0,4936.0,0.0
MA_46 MA_86,-0.48643939174088263,1.5749995854550884,0.010722115325970876,64.0,3161.0,4936.0,0.0
MA_46 MA_87,-0.45804881722709,1.430599621999582,0.010727607210150574,66.0,3153.0,4936.0,0.0
MA_46 MA_88,-0.4572333474829595,1.1615422962279776,0.010726827422805027,60.0,3153.0,4936.0,0.0
MA_46 MA_89,-0.40389348965917066,1.3541822407798705,0.010709896637427186,60.0,3147.0,4936.0,0.0
MA_46 MA_90,-0.32335412614560866,1.0256101912535533,0.01074861781469035,60.0,3141.0,4936.0,0.0
MA_46 MA_91,-0.37739138604400707,1.0421143354735043,0.010765694331993876,58.0,3141.0,4936.0,0.0
MA_46 MA_92,-0.49304820960125917,1.0234319701240704,0.010810624013743065,58.0,3139.0,4936.0,0.0
MA_46 MA_93,-0.493048209601259,1.0559285416172055,0.010810624013743055,58.0,3144.0,4936.0,0.0
MA_46 MA_94,-0.5053445428327542,1.0277284442375678,0.010811323568777946,58.0,3147.0,4936.0,0.0
MA_46 MA_95,-0.4218587939837177,1.2894669720699894,0.010789143172423691,58.0,3145.0,4936.0,0.0
MA_46 MA_96,-0.42185879398371723,1.4053315424452872,0.010789143172423686,54.0,3149.0,4936.0,0.0
MA_46 MA_97,-0.4218587939837167,1.505892275940889,0.010789143172423684,52.0,3154.0,4936.0,0.0
MA_46 MA_98,-0.38232700043537976,1.6154635329929845,0.010780082334868216,52.0,3153.0,4936.0,0.0
MA_46 MA_99,-0.3554722341504104,1.6449982541666328,0.010784771377399627,48.0,3160.0,4936.0,0.0
MA_46 MA_100,-0.4149369842426295,1.8111705872007375,0.010762981914368084,44.0,3170.0,4936.0,0.0
MA_47 MA_57,-0.3171135754024136,0.709185400447667,0.01042978990631683,142.0,3029.0,4936.0,0.0
MA_47 MA_58,-0.3947011868360057,0.325870470150875,0.010464710662533233,128.0,3040.0,4936.0,0.0
MA_47 MA_59,-0.13015046721131862,0.2376926393857497,0.01040242318976123,122.0,3049.0,4936.0,0.0
MA_47 MA_60,-0.08806999647685665,0.09735357138445955,0.010352225607803174,114.0,3047.0,4936.0,0.0
MA_47 MA_61,-0.054676242238576804,0.11046140328026088,0.010364056218564741,112.0,3060.0,4936.0,0.0
MA_47 MA_62,-0.06029216145353512,0.171940453735707,0.010370451315834603,108.0,3060.0,4936.0,0.0
MA_47 MA_63,-0.1574474472372353,0.139716810691207,0.010402390499920868,102.0,3068.0,4936.0,0.0
MA_47 MA_64,-0.1887378332268092,0.12139605562550959,0.010396964940044719,98.0,3073.0,4936.0,0.0
MA_47 MA_65,-0.26830632485462463,0.12416731945822113,0.010421650477873618,94.0,3085.0,4936.0,0.0
MA_47 MA_66,-0.2507751747894403,0.25540901440493746,0.010428323504314644,94.0,3103.0,4936.0,0.0
MA_47 MA_67,-0.3186082127447186,0.3920032668511608,0.010457742923868155,90.0,3113.0,4936.0,0.0
MA_47 MA_68,-0.4620376331441665,0.6172156921463023,0.010585342116323587,80.0,3117.0,4936.0,0.0
MA_47 MA_69,-0.44596968165897743,0.7485533573321683,0.010587196236849302,78.0,3114.0,4936.0,0.0
MA_47 MA_70,-0.2412661420238319,1.0161294259777063,0.010547263853908008,76.0,3111.0,4936.0,0.0
MA_47 MA_71,-0.1466570602147015,1.0561756065747052,0.010658726155174625,78.0,3124.0,4936.0,0.0
MA_47 MA_72,-0.1466570602147034,0.9439324148556187,0.01065872615517463,78.0,3126.0,4936.0,0.0
MA_47 MA_73,-0.30037552346766666,1.038831993855125,0.010731263258013473,74.0,3134.0,4936.0,0.0
MA_47 MA_74,-0.37486054318233275,1.1841643659593104,0.010698352952113958,76.0,3140.0,4936.0,0.0
MA_47 MA_75,-0.3633317664332719,1.3586744467640988,0.01069930944224872,72.0,3151.0,4936.0,0.0
MA_47 MA_76,-0.3057661779163587,1.5268857938489147,0.010723256543858037,72.0,3157.0,4936.0,0.0
